Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38)
4.96967526846156e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9999792524434237e-16,6.4416533400925438e-19,8.404669234001605e-30,6.4416533398975213e-19,1.1790812611724771e-29,1.7339670112331597e-29,1.8732465846991334e-57,1.7450538292878658e-49,7.8374485122689025e-60,4.6621787371287458e-90,1.5320203544545374e-98
1.3915090751692369e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.5999419068413123e-16,1.8036629352711218e-18,5.0764202173368538e-29,1.8036629351533269e-18,7.1216508176307159e-29,1.0473160747761168e-28,5.889786980065541e-56,2.071727911078108e-48,1.7532058864002187e-58,3.59754598652822e-88,2.1432347665906852e-96
3.1805921718153984e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2799867215635993e-15,4.1226581379756898e-18,2.4440778132474892e-28,4.1226581374085612e-18,3.4287683077129935e-28,5.0423760685353542e-28,1.3139790747420742e-54,2.0340347582001134e-47,3.4640394074647391e-57,3.9207815916802111e-86,4.6596362702662032e-94
6.758758365107721e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.7199717833220976e-15,8.7606485441081726e-18,1.06739299271802e-27,8.7606485416313682e-18,1.4974332019199235e-27,2.202138104131084e-27,2.4609373829611598e-53,1.7990807264357087e-46,6.1640731007853441e-56,3.2074427740902195e-84,7.6352514399820455e-92
1.3915090751692367e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999445,5.5999419068373404e-15,1.8036629359266504e-17,4.456155627865991e-27,1.8036629348926344e-17,6.251488848814371e-27,9.193493092342957e-27,4.2506573262770595e-52,1.5122357827483952e-45,1.0396610440187469e-54,2.3084198448496361e-82,1.0999508035906891e-89
2.822775552486166e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.99999999999998868,1.1359882153860815e-14,3.6588591001156651e-17,1.8204849747602769e-26,3.6588590958913711e-17,2.5539371767093177e-26,3.7558419039825579e-26,7.0625306854015915e-51,1.2398223083914795e-44,1.707646451030297e-53,1.564722117406817e-80,1.4917960294509484e-87
5.685308507120024e-17,0.11224537200000129,0.0,0.0,0.0,0.0,0.99999999999997713,2.2879762647879706e-14,7.3692514331230865e-17,7.3586913384800553e-26,7.3692514160478113e-17,1.0323422415041943e-25,1.5181713479048037e-25,1.1513707389993117e-49,1.0040403280563782e-43,2.7681686931320743e-52,1.0302832783987254e-78,1.9649175155537587e-85
1.1410374416387741e-16,0.11224537200000263,0.0,0.0,0.0,0.0,0.99999999999995359,4.5919523635805278e-14,1.4790036117655486e-16,2.9588974224978014e-25,1.4790036048996566e-16,4.1510027549461774e-25,6.1045002148618071e-25,1.8594667808631864e-48,8.0813913136831932e-43,4.4580510140614168e-51,6.6876564754335493e-77,2.5510517444263726e-83
2.2860506234923175e-16,0.11224537200000519,0.0,0.0,0.0,0.0,0.99999999999990752,9.1999045611207638e-14,2.963160556079057e-16,1.1866502063395751e-24,2.9631605285437577e-16,1.6647377676169725e-24,2.4481776138282113e-24,2.9890384199726302e-47,6.4848096001387228e-42,7.1561613432532059e-50,4.3103698610859813e-75,3.2883116342510172e-81
4.576076987199404e-16,0.11224537200001043,0.0,0.0,0.0,0.0,0.99999999999981448,1.8415808956021699e-13,5.9314744743341753e-16,4.752790359938488e-24,5.9314743640493578e-16,6.6676343345876953e-24,9.8054800596992874e-24,4.7936036272717895e-46,5.195742240215945e-41,1.1468524399177538e-48,2.7683611870205208e-73,4.2231959062101715e-79
