Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38),C3H5(32),C4H6(30)
5.271136623936369e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.1212983374527156e-16,6.8324051382575959e-19,9.4552528882517911e-30,6.8324051380381959e-19,1.3264664188207802e-29,1.9507128876362863e-29,2.3708277087100802e-57,2.0822727313113129e-49,9.9192707742055213e-60,6.638141207553417e-90,2.3136536283896346e-98,3.7103425961245951e-87,2.2034886194334174e-100
1.4759182547021833e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.9396353448672957e-16,1.9130734387629871e-18,5.7109727445039436e-29,1.9130734386304685e-18,8.0118571698552483e-29,1.1782305841219221e-28,7.4542616463598425e-56,2.4720741928745384e-48,2.2189012004758864e-58,5.1222871554394437e-88,3.2367081037262753e-96,4.2202469982091248e-85,3.0825938067482618e-98
3.373527439319276e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.357630935969522e-15,4.372739288840882e-18,2.7495875399034101e-28,4.3727392882028607e-18,3.8573643461974339e-28,5.672673077090394e-28,1.6630047663424133e-54,2.4270971143251582e-47,4.38417487732058e-57,5.5825191001299457e-86,7.0369711069598026e-94,3.8205735825354097e-83,6.7019195942359095e-96
7.168745808553461e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.8849657389346146e-15,9.2920709898104335e-18,1.2008171168077584e-27,9.2920709870240304e-18,1.6846123521778837e-27,2.4774053671369616e-27,3.1146238748286672e-53,2.1467399337920909e-46,7.8014050266435229e-56,4.5668472279605848e-84,1.1530735667404688e-91,2.895654801192947e-81,1.0981756817268092e-93
1.4759182547021833e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.99999999999999412,5.9396353448628262e-15,1.9130734395004575e-17,5.0131750813491203e-27,1.9130734383371891e-17,7.0329249550672113e-27,1.0342679728797492e-26,5.379738176902156e-52,1.8044643023883815e-45,1.3158210117670626e-54,3.2867930951260767e-82,1.6611420739659018e-89,2.0134588421707119e-79,1.582064934786281e-91
2.994005602395858e-17,0.11224537200000068,0.0,0.0,0.0,0.0,0.9999999999999879,1.204897455671136e-14,3.8808061218413011e-17,2.0480455966052119e-26,3.8808061170889707e-17,2.8731793239218168e-26,4.225322141907953e-26,8.9385153931647107e-51,1.4794089173140165e-44,2.1612400493373876e-53,2.2278953529121195e-80,2.2529038242493859e-87,1.3425810228954482e-77,2.145683291461954e-89
6.030180297783207e-17,0.11224537200000136,0.0,0.0,0.0,0.0,0.9999999999999758,2.426765298037688e-14,7.8162714917310566e-17,8.2785277557892614e-26,7.8162714725213765e-17,1.1613850217925025e-25,1.7079427663342548e-25,1.4572035897364581e-49,1.1980637964245858e-43,3.5034635340635186e-52,1.4669463011381533e-78,2.9674055596033294e-85,8.7696163490298958e-76,2.8262511617108547e-87
1.2102529688557904e-16,0.11224537200000277,0.0,0.0,0.0,0.0,0.99999999999995082,4.8705009827581654e-14,1.5687202252342824e-16,3.3287596003093816e-25,1.5687202175101538e-16,4.6698781001216234e-25,6.8675627412474652e-25,2.3533876386834219e-48,9.6430613179069518e-43,5.6422209174790247e-51,9.5220732850834781e-77,3.8525705741622196e-83,5.6699384213880215e-74,3.6694942500578044e-85
2.4247228470107295e-16,0.11224537200000548,0.0,0.0,0.0,0.0,0.99999999999990197,9.7579723521486313e-14,3.1429063856895416e-16,1.3349814821315032e-24,3.1429063547123307e-16,1.8728299892167982e-24,2.7541998151779296e-24,3.7830017314787944e-47,7.7379519643249604e-42,9.0570170306306239e-50,6.1372257153719191e-75,4.965943930671775e-81,3.6472386657039117e-72,4.7304334578476163e-83
4.853662603320609e-16,0.11224537200001104,0.0,0.0,0.0,0.0,0.99999999999980327,1.9532915090727587e-13,6.2912787399316757e-16,5.3468891549266415e-24,6.2912786158612547e-16,7.5010886316006688e-24,1.1031165064126621e-23,6.0669045304642853e-46,6.199781932174217e-41,1.4514852253105378e-48,3.9416703619210379e-73,6.3777146853748677e-79,2.3401649169904145e-70,6.07646827643792e-81
9.711542115940367e-16,0.11224537200002209,0.0,0.0,0.0,0.0,0.99999999999960654,3.9082800567077614e-13,1.2588023581742412e-15,2.1401491014701898e-23,1.2588023085137407e-15,3.0023903290821643e-23,4.4153408089874702e-23,9.7183421884862612e-45,4.9636018355638028e-40,2.3242704784211428e-47,2.5271076988299711e-71,8.1746768164321055e-77,1.4996078141788393e-68,7.7916732652763084e-79
1.942730114117988e-15,0.11224537200004416,0.0,0.0,0.0,0.0,0.9999999999992133,7.8182571516546135e-13,2.5181513798669735e-15,8.5633840789463872e-23,2.5181511811602944e-15,1.2013472401551507e-22,1.7667114313662485e-22,1.5558385318883938e-43,3.9724005035515181e-39,3.7203559517508903e-46,1.6187696545230733e-69,1.0464467738947881e-74,9.6035951283292369e-67,9.9821722743948051e-77
3.885881919165891e-15,0.11224537200008836,0.0,0.0,0.0,0.0,0.99999999999842593,1.5638211340255693e-12,5.0368496365747477e-15,3.4259112454760553e-22,5.0368488416187158e-15,4.8061714635741391e-22,7.0679960028195297e-22,2.4900636147079548e-42,3.1785407448303126e-38,5.9538112123293552e-45,1.0364660985753439e-67,1.3379010073445855e-72,6.1482721014726002e-65,1.2782818432010391e-74
7.772185529261696e-15,0.11224537200017666,0.0,0.0,0.0,0.0,0.99999999999685218,3.1278119712287387e-12,1.007424700327936e-14,1.3704760288005363e-21,1.0074243823197021e-14,1.9226252367512858e-21,2.8274283913464602e-21,3.9846752933474366e-41,2.5431009168317479e-37,9.5271644954917405e-44,6.6348178753567171e-66,1.7074284416744498e-70,3.9355465942013496e-63,1.6365575544448939e-72
1.5544792749453306e-14,0.11224537200035337,0.0,0.0,0.0,0.0,0.99999999999370381,6.2557936435668843e-12,2.0149045149843251e-14,5.4821271834703935e-21,2.0149032429001003e-14,7.6908153774990685e-21,1.1310172909103821e-20,6.3759260161108433e-40,2.0346203204084565e-36,1.524455035239561e-42,4.246722075047402e-64,2.1718939542855955e-68,2.518986192083116e-61,2.0950119365762211e-70
3.1090007189836526e-14,0.11224537200070668,0.0,0.0,0.0,0.0,0.99999999998740796,1.2511756979970423e-11,4.0298655095577344e-14,2.192895487120539e-20,4.029860421121087e-14,3.0763899315785716e-20,4.5241605115405998e-20,1.0201795521880713e-38,1.627803697538627e-35,2.4392898683760866e-41,2.7180184292089113e-62,2.7453706514586086e-66,1.6122620922064155e-59,2.6817313135621146e-68
6.218043607060297e-14,0.11224537200141343,0.0,0.0,0.0,0.0,0.99999999997481515,2.5023683619686432e-11,8.0597929597371514e-14,8.7716711710170601e-20,8.0597726058137242e-14,1.2305694435501679e-19,1.8096820563751918e-19,1.6322987780007385e-37,1.3023685032599184e-34,3.9032327187972276e-40,1.7395437279111644e-60,3.4283305959411406e-64,1.0319284026232324e-57,3.4326406055970504e-66
1.2436129383213587e-13,0.1122453720028269,0.0,0.0,0.0,0.0,0.99999999994963007,5.0047536766754213e-11,1.6119669704147027e-13,3.5086863084139468e-19,1.6119588288280912e-13,4.9223104336624126e-19,7.2387605853332348e-19,2.6116436654703396e-36,1.0420771300597123e-33,6.246233824840418e-39,1.1132923511944453e-58,4.1839385424707557e-62,6.605177974721268e-56,4.3937189988096226e-64
2.487230093552017e-13,0.11224537200565379,0.0,0.0,0.0,0.0,0.99999999989926003,1.0009524253143262e-10,3.2239510568536105e-13,1.4034780877115122e-18,3.2239184906176985e-13,1.9689352793477104e-18,2.8955080310822903e-18,4.1784629244269825e-35,8.3394600883177501e-33,9.9972755459571069e-38,9.4150643948259109e-57,6.4626659782521735e-60,4.2283212805193305e-54,7.4173755702495639e-62
4.974464404013332e-13,0.1122453720113076,0.0,0.0,0.0,0.0,0.99999999979851972,2.0019065194295935e-10,6.4479541794512885e-13,5.6139194502382654e-18,6.4478239158888208e-13,7.8757999205052456e-18,1.1582018318701384e-17,6.6849610189685461e-34,6.6760872354203378e-32,1.6006129122451219e-36,6.0495849399971091e-55,7.1076352847437256e-58,2.7073946180617772e-52,9.5496780971068685e-60
9.948933024935964e-13,0.11224537202261525,0.0,0.0,0.0,0.0,0.99999999959703922,4.0038146229467978e-10,1.2896100219463319e-12,2.245569176528262e-17,1.2895579177256309e-12,3.1503610011023306e-17,4.6327874478890879e-17,1.0694046813132917e-32,5.348088454464539e-31,2.564330742540777e-35,3.874578081290328e-53,7.0500670895891357e-56,1.7343495235761077e-50,1.2233050613956254e-57
1e-12,0.11224537204523051,0.0,0.0,0.0,0.0,0.99999999959497088,4.0243658396418199e-10,1.2962298564485049e-12,2.2801480868357334e-17,1.2961769499398288e-12,3.1988741595833307e-17,4.7041255499586189e-17,1.1517108222906745e-32,5.5408397387608769e-31,2.7623178235281981e-35,5.1299911602032174e-53,1.0210815171882993e-55,2.2962517411484482e-50,2.0223099270802867e-57
1.9897870266781225e-12,0.11224537204523051,0.0,0.0,0.0,0.0,0.99999999919407789,8.0076304911269005e-10,2.5792951446254971e-12,8.9822793114062235e-17,2.5790867375750313e-12,1.26017602357182e-16,1.8530973103291938e-16,1.7104398530302195e-31,4.2900154696104712e-30,4.1136441986157937e-34,2.4845585426868619e-51,6.2283128895142414e-54,1.112049005117646e-48,1.5688651505305623e-55
2.984680750862649e-12,0.11224537206784573,0.0,0.0,0.0,0.0,0.99999999879111701,1.2011446020048028e-09,3.8690361786018381e-12,1.9087344993207733e-16,3.8685933281155557e-12,2.6779201567641543e-16,3.9378053385097357e-16,6.5199798526840547e-31,1.228879597720749e-29,1.5162667421151415e-33,1.2335463684560282e-50,3.3153023406434456e-53,6.2061676581604553e-48,9.2973119484455539e-55
