Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38),C3H5(32),C4H6(30),C4H7(42)
5.415578069359327e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.1794268626447186e-16,7.0196289847098027e-19,9.9805447153768779e-30,7.0196289844782125e-19,1.4001589976450377e-29,2.0590858258377851e-29,2.64157037912262e-57,2.2581836341223565e-49,1.1052027005055061e-59,7.8071005719965705e-90,2.795645932853034e-98,4.3637242563483055e-87,2.6625308420004215e-100,6.0013288525803723e-101
1.5163618594206115e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.1023952154048868e-16,1.9654961157724311e-18,6.0282490080874851e-29,1.9654961156325501e-18,8.4569603459687823e-29,1.2436878387947494e-28,8.3055199206373469e-56,2.6809156174068865e-48,2.4722942390690867e-58,6.0243085726699856e-88,3.9109958215118939e-96,4.963421495659216e-85,3.7247757995570372e-98,8.3956228706838669e-99
3.465969964389969e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.3948331920923919e-15,4.4925625505900729e-18,2.9023424032313676e-28,4.492562549916606e-18,4.0716623654408995e-28,5.9878215813671826e-28,1.8529158044057602e-54,2.6321388647781979e-47,4.8848368243875479e-57,6.5655861628850961e-86,8.5029488402414022e-94,4.4933666335757273e-83,8.0980983803957533e-96,1.8253066350102914e-96
7.365186174328685e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999711,2.964020533195679e-15,9.5466954210843288e-18,1.2675291788526261e-27,9.5466954181431257e-18,1.7782019273079646e-27,2.615038998639254e-27,3.4703062306476997e-53,2.3280970425758224e-46,8.6923062224752547e-56,5.3710571207126094e-84,1.393287617002487e-91,3.4055720659475128e-81,1.3269533576930337e-93,2.9909450962991454e-94
1.5163618594206114e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.999999999999994,6.1023952154001694e-15,1.9654961165508717e-17,5.2916848080906752e-27,1.9654961153229773e-17,7.4236430082028893e-27,1.0917273047019338e-26,5.994090992510169e-52,1.9569058841607122e-45,1.4660845239347277e-54,3.8655887907744096e-82,2.0071991507759283e-89,2.3680236983653497e-79,1.9116489390093046e-91,4.3088455078624417e-92
3.076048343396098e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998757,1.237914457980082e-14,3.9871492668100993e-17,2.1618259075276723e-26,3.9871492617937495e-17,3.0328003975356576e-26,4.4600622608662089e-26,9.959271777694619e-51,1.6043897431580103e-44,2.4080483317827636e-53,2.6202219153393777e-80,2.7222386087554617e-87,1.5790060442693685e-77,2.5926832050254474e-89,5.8438927496824943e-90
6.19542131134707e-17,0.11224537200000141,0.0,0.0,0.0,0.0,0.99999999999997502,2.4932643308568823e-14,8.0304555728259587e-17,8.7384459644438087e-26,8.0304555525490705e-17,1.2259064119428048e-25,1.8028284755453821e-25,1.6236126406847719e-49,1.2992765208358957e-43,3.9035504361126127e-52,1.7252717180343539e-78,3.5855860076496554e-85,1.0313922963701159e-75,3.4150305138440339e-87,7.6974587604860965e-88
1.2434167247249016e-16,0.11224537200000284,0.0,0.0,0.0,0.0,0.99999999999994948,5.0039640765971553e-14,1.6117068206847281e-16,3.5136906892151294e-25,1.6117068125314811e-16,4.9293157727588333e-25,7.2490940044113455e-25,2.6221386930661883e-48,1.0457709558890132e-42,6.2865486697296551e-51,1.1198885529093319e-76,4.6551453365976753e-83,6.6683998412630204e-74,4.4339423831011955e-85,9.9940801346268567e-86
2.4911659119052907e-16,0.11224537200000564,0.0,0.0,0.0,0.0,0.9999999999998993,1.0025363568024407e-13,3.2290293562848375e-16,1.4091471200274349e-24,3.2290293235866703e-16,1.9768761000564227e-24,2.9072109158295622e-24,4.2150111784327011e-47,8.391656164790877e-42,1.0091306189002768e-49,7.217975111841734e-75,6.0004422321852474e-81,4.2895079423856604e-72,5.7159019452129684e-83,1.2883609456376152e-83
4.986664286266069e-16,0.11224537200001133,0.0,0.0,0.0,0.0,0.99999999999979794,2.0068162550665718e-13,6.4636744626684293e-16,5.6439385524204637e-24,6.4636743317052088e-16,7.9178157804253318e-24,1.1644007566154198e-23,6.7597300156398893e-46,6.723541248769936e-41,1.6172413107365271e-48,4.6357881670944098e-73,7.7062686810169226e-79,2.7522619283860218e-70,7.3423496800342181e-81,1.6549613073401883e-81
9.977661034987625e-16,0.11224537200002269,0.0,0.0,0.0,0.0,0.99999999999959588,4.0153760515095566e-13,1.2932964816169108e-15,2.2590462737724058e-23,1.2932964291974936e-15,3.1691897939102481e-23,4.6606375193689421e-23,1.0828152767365999e-44,5.3829285057197195e-40,2.5896966094867459e-47,2.972124685704682e-71,9.8774509212959413e-77,1.7636849299184667e-68,9.4148749346565772e-79,2.1221072736247887e-79
1.9959654532430734e-15,0.11224537200004539,0.0,0.0,0.0,0.0,0.99999999999919142,8.0324956440544163e-13,2.5871546086104403e-15,9.0391276388743767e-23,2.5871543988645024e-15,1.2680887551787794e-22,1.864862065458623e-22,1.7335114176292484e-43,4.3079904801344721e-39,4.1452119961084576e-46,1.9038306538166065e-69,1.264392469011846e-74,1.1294764329246228e-66,1.206170967428985e-76,2.7187022434503024e-77
3.992364152731695e-15,0.11224537200009072,0.0,0.0,0.0,0.0,0.99999999999838318,1.6066734827779715e-12,5.1748710877710524e-15,3.6162396479917257e-22,5.1748702486508005e-15,5.0731810027842287e-22,7.4606624395509084e-22,2.7744226254934847e-42,3.4470656319479222e-38,6.6337236109100122e-45,1.2189849276992077e-67,1.6164777129063303e-72,7.2309682397024095e-65,1.5445799938046767e-74,3.4814741307777199e-75
7.985161551708939e-15,0.11224537200018152,0.0,0.0,0.0,0.0,0.9999999999967657,3.2135213189772573e-12,1.0350304946786264e-14,1.4466135859474984e-21,1.0350301590032721e-14,2.0294377606699283e-21,2.9845077401248993e-21,4.4397150348250903e-41,2.7579442930822582e-37,1.0615149106392116e-43,7.8031901327722111e-66,2.0627680857867634e-70,4.6285879427838551e-63,1.9774932963072271e-72,4.4572579860321038e-73
1.5970756349663426e-14,0.11224537200036304,0.0,0.0,0.0,0.0,0.9999999999935314,6.4272169891927399e-12,2.0701176267590977e-14,5.7866898047053209e-21,2.0701162840035544e-14,8.1180829846016385e-21,1.1938515798125241e-20,7.1040399414305161e-40,2.2065080917249576e-36,1.6985459401210755e-42,4.9945564498367334e-64,2.6234424564432486e-68,2.9625754642533286e-61,2.5314546263219174e-70,5.70588308739495e-71
3.19419459455724e-14,0.11224537200072607,0.0,0.0,0.0,0.0,0.99999999998706268,1.2854608320891345e-11,4.1402933320284117e-14,2.3147230141276024e-20,4.1402879609010595e-14,3.2473005522388233e-20,4.7755027218822999e-20,1.1366811916154326e-38,1.7653250360129808e-35,2.7178568412512882e-41,3.1966516511662605e-62,3.3150252408684271e-66,1.8961802770108007e-59,3.2404009386747465e-68,7.3038426665687342e-69
6.388432513739036e-14,0.11224537200145218,0.0,0.0,0.0,0.0,0.99999999997412503,2.5709390949359106e-11,8.2806505069897665e-14,9.2589862356320483e-20,8.2806290222945637e-14,1.2989344677615443e-19,1.9102199161562568e-19,1.8187021593803045e-37,1.4123994517419311e-34,4.3489917551131806e-40,2.0458698775285864e-60,4.1369982723001451e-64,1.2136521862219346e-57,4.1477405861556781e-66,9.3489777045124678e-67
1.2776908352102628e-13,0.11224537200290437,0.0,0.0,0.0,0.0,0.99999999994824984,5.1418956066576827e-11,1.656138791451732e-13,3.7036133251948434e-19,1.6561301975561511e-13,5.1957725654243741e-19,7.6409136932678615e-19,2.9098833758556264e-36,1.1301225264669727e-33,6.959600697051867e-39,1.3093376719108611e-58,5.042683106387371e-62,7.7683822790497821e-56,5.3090321107649501e-64,1.1966513778347424e-64
2.5553860028829813e-13,0.11224537200580875,0.0,0.0,0.0,0.0,0.99999999989649935,1.0283808574214079e-10,3.3122954959303308e-13,1.4814490923018042e-18,3.3122611204702766e-13,2.0783209254454319e-18,3.0563693820343265e-18,4.6556217213168003e-35,9.0441471930498066e-33,1.1139139383506734e-37,1.1073041057528166e-56,7.772747586875495e-60,4.9729812133266703e-54,8.962612050159406e-62,2.0201629173834766e-62
5.110776338228418e-13,0.1122453720116175,0.0,0.0,0.0,0.0,0.99999999979299858,2.0567634285778131e-10,6.624645796229113e-13,5.9258038618798202e-18,6.6245082958915486e-13,8.3133471828981748e-18,1.2225462130271638e-17,7.4483307419539231e-34,7.2403527002846214e-32,1.7834628436304722e-36,7.1149712835144755e-55,8.5204012153349189e-58,3.1842410997620271e-52,1.1539238962837743e-59,2.6009259289420905e-60
1e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243658383278611e-10,1.2962300740615495e-12,2.2932562514616466e-17,1.2961768634064006e-12,3.217264030495942e-17,4.7311686622137074e-17,1.1430920314076972e-32,5.5802632572713405e-31,2.7412370622312102e-35,4.3625857956971843e-53,8.053879972326362e-56,1.9528182543555158e-50,1.4146269230181493e-57,3.188531997989693e-58
1.022155700891929e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999958599728,4.113528481470992e-10,1.3249493957787053e-12,2.3703230178602475e-17,1.3248943969506582e-12,3.3253833145417438e-17,4.890163207966749e-17,1.1915164376009668e-32,5.8003250547679328e-31,2.8573754216424028e-35,4.5570538356486042e-53,8.4149835201973016e-56,2.0398679971079923e-50,1.4782083690725061e-57,3.3318429052062529e-58
2.0443118350301034e-12,0.11224537204646994,0.0,0.0,0.0,0.0,0.99999999917199389,8.2270582295777457e-10,2.649978048949988e-12,9.481294814238475e-17,2.649758064302651e-12,1.330187608804402e-16,1.9560461047808629e-16,1.9057307119122304e-31,4.6531230545742755e-30,4.5840663862058612e-34,2.9223863991392474e-51,7.400367629297323e-54,1.3080109066470694e-48,1.8959012917648686e-55,4.2732732822264159e-56
3.0664679691682777e-12,0.1122453720697049,0.0,0.0,0.0,0.0,0.99999999875799062,1.2340587619577703e-09,3.9750657193196581e-12,2.0147753008149115e-16,3.9745982676657557e-12,2.8266986630657428e-16,4.1565692821733567e-16,7.2643711149041653e-31,1.332957274523566e-29,1.6897277607614094e-33,1.4509450272770414e-50,3.9347393282046819e-53,7.2999446771239964e-48,1.1235536235437e-54,2.5324300799376871e-55
4.088624103306452e-12,0.11224537209293985,0.0,0.0,0.0,0.0,0.99999999834398701,1.6454116651469419e-09,5.3002124033638692e-12,3.4369697464451906e-16,5.2994150105588971e-12,4.8220937117744936e-16,7.0905728634103773e-16,1.9542586449498174e-30,2.8173088346083324e-29,4.2922206854062687e-33,6.1467667191393959e-50,1.6967421341492691e-52,2.7550833493262836e-47,5.0801868525479369e-54,1.1450452328362864e-54
6.132936371582801e-12,0.11224537213940983,0.0,0.0,0.0,0.0,0.99999999751597979,2.468117387367691e-09,7.9506442616451288e-12,7.1158094671871605e-16,7.9489934466135448e-12,9.9838029146040578e-16,1.4679973338923481e-15,7.9026224057976249e-30,7.7297489638573104e-29,1.5061625764393106e-32,5.563429585644952e-49,1.6104685296143615e-51,2.0071264598192308e-46,5.2834324012245052e-53,1.1908521331721369e-53
8.17724863985915e-12,0.11224537218587981,0.0,0.0,0.0,0.0,0.9999999966879719,3.2908229778428851e-09,1.0601293104809809e-11,1.210212821107999e-15,1.0598485639200434e-11,1.6980271039264045e-15,2.4966534980597601e-15,2.140182854407086e-29,1.6239293768135073e-28,3.7748370108784382e-32,2.1999228205100477e-48,6.6193683444293112e-51,7.3922964145798406e-46,2.3707958253118789e-52,5.343607970250748e-53
1e-11,0.11224537227881987,0.0,0.0,0.0,0.0,0.9999999959497019,4.024364281102262e-09,1.2964867017522105e-11,1.7754887459872628e-15,1.2960748448571161e-11,2.4912279707624061e-15,3.6627680732425943e-15,4.9978336314743913e-29,2.9043598038160778e-28,8.4237604797799464e-32,9.6136751479218392e-48,3.1490314199118929e-50,3.2071129310776962e-45,1.6053135655438801e-51,3.6181983230467781e-52
1.2265873176411849e-11,0.11224537227881987,0.0,0.0,0.0,0.0,0.99999999503195391,4.9362337263741496e-09,1.5903303148473442e-11,2.6368069239253018e-15,1.5897186977190326e-11,3.6998833677684875e-15,5.4395655473638163e-15,1.0724140591807991e-28,5.1817582284901751e-28,1.765445884378119e-31,2.6647781285413512e-47,8.9226296270898868e-50,8.8874850380582836e-45,4.8885691168985927e-51,1.1018257862314658e-51
1.6354497712964546e-11,0.11224537237175997,0.0,0.0,0.0,0.0,0.9999999933759337,6.5816439048522469e-09,2.1206252076001314e-11,4.6293455115114908e-15,2.1195515348818375e-11,6.4961325550144405e-15,9.5498233907298742e-15,3.215537418729334e-28,1.1891684263892534e-27,5.1574225488407264e-31,1.2810124868138201e-46,4.4254056004087364e-49,4.1253554340134071e-44,2.8427997814791146e-50,6.4072743858807092e-51
2.453174678606994e-11,0.11224537255764047,0.0,0.0,0.0,0.0,0.99999999006388551,9.8724625437607123e-09,3.1814978404529204e-11,1.0320077435037763e-14,3.1791049191100479e-11,1.4483516821160297e-14,2.1288084818008159e-14,1.6608919584042993e-27,4.0504443454112799e-27,2.6705954494600645e-30,1.6215417699193264e-45,5.9264004475602327e-48,5.3135697259643554e-43,5.9451315096510283e-49,1.3398957158240833e-49
4.088624493228074e-11,0.1122453729294026,0.0,0.0,0.0,0.0,0.99999998343975838,1.6454092947338644e-08,5.3043740385569161e-11,2.8525895579376235e-14,5.2977631569380013e-11,4.0044972109776571e-14,5.8836432414701543e-14,1.3523212844148519e-26,1.982894232030449e-26,2.2989107849694776e-29,4.1298536160200263e-44,1.5772546890071959e-46,1.4239608433328598e-41,2.9097935962277496e-47,6.5573848975881301e-48
7.359524122470232e-11,0.11224537367293111,0.0,0.0,0.0,0.0,0.99999997019138265,2.9617326247710558e-08,9.5546453664238966e-11,9.2242264822405785e-14,9.5332910334633676e-11,1.2956291774696038e-13,1.9021345013874135e-13,1.4870286369123798e-25,1.2797082418426075e-25,2.8160797400832355e-28,1.687925543012805e-42,6.610175521834179e-45,6.0686846295107765e-40,2.3539652757571212e-45,5.3037762420975662e-46
9.999999999999999e-11,0.11224537441646544,0.0,0.0,0.0,0.0,0.99999995949634157,4.024348920658747e-08,1.2990121238171672e-10,1.7023562789598246e-13,1.2950741532855478e-10,2.3920778522912505e-13,3.5098849786309323e-13,4.7920319728106931e-25,3.3019162695414095e-25,9.3050657597808242e-28,9.310577106920702e-42,3.660785474234785e-44,3.0899313389590908e-39,1.508348142314417e-44,3.3983063736851075e-45
1.063042375171239e-10,0.11224537441646544,0.0,0.0,0.0,0.0,0.99999995694284405,4.278052286876691e-08,1.381093418737256e-10,1.9236530058010019e-13,1.3766441887913947e-10,2.7032416077527201e-13,3.9660300777946696e-13,5.8735679900254836e-25,3.9365471576631885e-25,1.1435776544813887e-27,1.1961921512460344e-41,4.7044721279948948e-44,3.9476031183811363e-39,1.9556435351157833e-44,4.4060483621131602e-45
1.3901323380954548e-10,0.11224537516000545,0.0,0.0,0.0,0.0,0.99999994369414325,5.5943682805066342e-08,1.8073229759104377e-10,3.2889590470454707e-13,1.7997226541660534e-10,4.623989494467412e-13,6.7796708431664532e-13,1.6092074093952374e-24,9.0343430501947657e-25,3.2112714285714287e-27,5.3722227019459511e-41,2.1185740509222977e-43,1.6485988368217921e-38,9.9069017821663447e-44,2.2319001079596433e-44
1.7172223010196706e-10,0.11224537590355123,0.0,0.0,0.0,0.0,0.99999993044528024,6.910680605164693e-08,2.2341520896913555e-10,5.0183434813272012e-13,2.2225656195023804e-10,7.0585885383587644e-13,1.0342651892245066e-12,3.5920262097724237e-24,1.7596801842663692e-24,7.3682509901745533e-27,1.8418906829548546e-40,7.2797165546599738e-43,5.3564254480993789e-38,3.7852848522277245e-43,8.5273282458190828e-44
2.3714022268681024e-10,0.11224537739066016,0.0,0.0,0.0,0.0,0.99999990394706639,9.5432942458241866e-08,3.0896048408046527e-10,9.5693477113466959e-13,3.0675491922628281e-10,1.3471973003885766e-12,1.9715123419323044e-12,1.2364129230196937e-23,4.9687931471505315e-24,2.6989297139498887e-26,1.3353212689618462e-39,5.2985632488499158e-42,3.6111444624464759e-37,3.4150434714944298e-42,7.6923488471024497e-43
3.025582152716534e-10,0.11224537887779215,0.0,0.0,0.0,0.0,0.99999987744820296,1.2175893205086538e-07,3.9474427213764297e-10,1.5576666384031656e-12,3.9116038492704389e-10,2.1949083510978083e-12,3.2080186372440174e-12,3.1557304130371342e-23,1.1085888205524593e-23,7.305378446091873e-26,5.6131059248593651e-39,2.2307347837787177e-41,1.4402703070673714e-36,1.6388824540982321e-41,3.6912482183357758e-42
3.6797620785649656e-10,0.1122453803649474,0.0,0.0,0.0,0.0,0.99999985094868837,1.4808477479009843e-07,4.8076563541137965e-10,2.3040297666517387e-12,4.75473895632134e-10,3.2495885007538487e-12,4.7434435071505857e-12,6.7400868419208828e-23,2.1439897567159539e-23,1.6571815798135728e-25,1.8270764036657425e-38,7.2722990399339793e-41,4.4763348900455994e-36,5.9865701962167651e-41,1.3482377039069185e-41
4.988121930261829e-10,0.11224538333932772,0.0,0.0,0.0,0.0,0.99999979794770888,2.0073601955628573e-07,6.5351748286364559e-10,4.2336477778111614e-12,6.4382865102221349e-10,5.9821568188856411e-12,8.7097488510154372e-12,2.2509518762656357e-22,6.1994615686149419e-23,6.4784039364432251e-25,1.4685859064675919e-37,5.866454141251558e-40,3.4382772319597199e-35,7.5292030979707578e-40,1.6947773914059861e-40
6.296481781958692e-10,0.11224538631380164,0.0,0.0,0.0,0.0,0.99999974494412514,2.5338667645293094e-07,8.2720887469080613e-10,6.7457859030892269e-12,8.1182632678361982e-10,9.5494744918754069e-12,1.3867855494702111e-11,5.6180216284226051e-22,1.4174222982690819e-22,1.8435834992253251e-24,6.5627139079775708e-37,2.6249327379239681e-39,1.4809781497991411e-34,4.1339739305223929e-39,9.3026149818499027e-40
